Features,F1,Recall,Precision,Seed,model,Execution
['Topology'],0.8743304491141327,0.8783112582781457,0.8703855619360131,4259,bert,5.0
"['Classiques', 'Spectral']",0.913234706117553,0.945364238410596,0.8832173240525909,4259,bert,5.0
"['Classiques', 'Topology']",0.9138638228055783,0.9221854304635762,0.9056910569105691,4259,bert,5.0
"['Spectral', 'Topology']",0.8954113269946259,0.8965231788079471,0.8943022295623452,4259,bert,5.0
"['Classiques', 'Spectral', 'Topology']",0.9271305063812268,0.9321192052980133,0.9221949221949222,4259,bert,5.0
['Classiques'],0.8235722080756639,0.8984126984126984,0.7602417730020148,8094,bert,6.0
['Spectral'],0.7707482993197279,0.8992063492063492,0.674404761904762,8094,bert,6.0
['Topology'],0.8750495834986116,0.8753968253968254,0.8747026169706582,8094,bert,6.0
"['Classiques', 'Spectral']",0.8998459167950693,0.926984126984127,0.874251497005988,8094,bert,6.0
"['Classiques', 'Topology']",0.9126984126984127,0.9126984126984127,0.9126984126984127,8094,bert,6.0
"['Spectral', 'Topology']",0.8871349644830308,0.8920634920634921,0.8822605965463108,8094,bert,6.0
"['Classiques', 'Spectral', 'Topology']",0.925089179548157,0.9261904761904762,0.9239904988123515,8094,bert,6.0
['Classiques'],0.8099929627023223,0.9200639488409272,0.7234443746071653,1848,bert,7.0
['Spectral'],0.7889645288427087,0.8800959232613909,0.714935064935065,1848,bert,7.0
['Topology'],0.8837025316455697,0.8928856914468425,0.874706342991386,1848,bert,7.0
"['Classiques', 'Spectral']",0.9107763615295481,0.9424460431654677,0.8811659192825112,1848,bert,7.0
"['Classiques', 'Topology']",0.9155869650569297,0.9320543565147882,0.8996913580246914,1848,bert,7.0
"['Spectral', 'Topology']",0.8972332015810277,0.9072741806554756,0.887412040656763,1848,bert,7.0
"['Classiques', 'Spectral', 'Topology']",0.925255704169945,0.9400479616306955,0.9109217660728117,1848,bert,7.0
['Classiques'],0.8048275862068965,0.9131455399061033,0.7194821208384711,2982,bert,8.0
['Spectral'],0.7842465753424658,0.8959311424100157,0.6973203410475031,2982,bert,8.0
['Topology'],0.8812908182865924,0.8974960876369327,0.8656603773584906,2982,bert,8.0
"['Classiques', 'Spectral']",0.9124389327320556,0.9499217527386542,0.8778018799710774,2982,bert,8.0
"['Classiques', 'Topology']",0.9250485436893204,0.931924882629108,0.9182729375481882,2982,bert,8.0
"['Spectral', 'Topology']",0.9074074074074074,0.92018779342723,0.8949771689497716,2982,bert,8.0
"['Classiques', 'Spectral', 'Topology']",0.9402577118313159,0.9420970266040689,0.9384255650818394,2982,bert,8.0
