Features,F1,Recall,Precision,Seed,model,Execution
"['Classiques', 'Spectral']",0.986858838490886,0.9773299748110831,0.9965753424657534,6224,bert,5.0
"['Classiques', 'Topology']",0.9894559257697174,0.9848866498740554,0.9940677966101695,6224,bert,5.0
"['Spectral', 'Topology']",0.987717069038543,0.979009235936188,0.9965811965811966,6224,bert,5.0
"['Classiques', 'Spectral', 'Topology']",0.9894291754756871,0.982367758186398,0.9965928449744463,6224,bert,5.0
['Classiques'],0.9431356620633631,0.9707357859531772,0.9170616113744076,3466,bert,6.0
['Spectral'],0.955115244642135,0.9874581939799331,0.9248238057948316,3466,bert,6.0
['Topology'],0.9903320722992854,0.9849498327759197,0.9957734573119188,3466,bert,6.0
"['Classiques', 'Spectral']",0.9895090222408729,0.9857859531772575,0.9932603201347936,3466,bert,6.0
"['Classiques', 'Topology']",0.992,0.9849498327759197,0.9991518235793045,3466,bert,6.0
"['Spectral', 'Topology']",0.9915895710681245,0.9857859531772575,0.9974619289340102,3466,bert,6.0
"['Classiques', 'Spectral', 'Topology']",0.9932716568544996,0.9874581939799331,0.9991539763113367,3466,bert,6.0
['Classiques'],0.94058994599086,0.9650468883205456,0.9173419773095624,2491,bert,7.0
['Spectral'],0.9554723262588432,0.9786871270247229,0.9333333333333333,2491,bert,7.0
['Topology'],0.9870801033591732,0.9769820971867008,0.9973890339425587,2491,bert,7.0
"['Classiques', 'Spectral']",0.9846285226302306,0.9829497016197783,0.9863130881094953,2491,bert,7.0
"['Classiques', 'Topology']",0.9884467265725289,0.9846547314578005,0.9922680412371134,2491,bert,7.0
"['Spectral', 'Topology']",0.9888123924268503,0.979539641943734,0.998262380538662,2491,bert,7.0
"['Classiques', 'Spectral', 'Topology']",0.9905579399141631,0.9838022165387894,0.9974070872947277,2491,bert,7.0
['Classiques'],0.9475539885412075,0.9817351598173516,0.9156729131175468,6783,bert,8.0
['Spectral'],0.9584805653710248,0.9908675799086758,0.9281437125748503,6783,bert,8.0
['Topology'],0.9940448923499771,0.9908675799086758,0.9972426470588235,6783,bert,8.0
"['Classiques', 'Spectral']",0.993601462522852,0.9926940639269406,0.9945105215004575,6783,bert,8.0
"['Classiques', 'Topology']",0.9945155393053017,0.993607305936073,0.9954254345837146,6783,bert,8.0
"['Spectral', 'Topology']",0.9926605504587156,0.9881278538812786,0.9972350230414746,6783,bert,8.0
"['Classiques', 'Spectral', 'Topology']",0.9931350114416476,0.9908675799086758,0.9954128440366973,6783,bert,8.0
['Classiques'],0.9517766497461929,0.9765625,0.9282178217821783,987,bert,9.0
['Spectral'],0.9600679694137638,0.9809027777777778,0.940099833610649,987,bert,9.0
['Topology'],0.9895196506550218,0.9835069444444444,0.9956063268892794,987,bert,9.0
"['Classiques', 'Spectral']",0.9882659713168188,0.9869791666666666,0.9895561357702349,987,bert,9.0
"['Classiques', 'Topology']",0.99257965953732,0.9869791666666666,0.9982440737489026,987,bert,9.0
"['Spectral', 'Topology']",0.9904013961605584,0.9852430555555556,0.9956140350877193,987,bert,9.0
"['Classiques', 'Spectral', 'Topology']",0.9917211328976034,0.9878472222222222,0.9956255468066492,987,bert,9.0
['Classiques'],0.956315289648623,0.9853228962818004,0.9289667896678967,2748,bert,10.0
['Spectral'],0.9568515884305357,0.987279843444227,0.9282428702851886,2748,bert,10.0
['Topology'],0.9926217412690606,0.987279843444227,0.9980217606330366,2748,bert,10.0
"['Classiques', 'Spectral']",0.990672557682867,0.987279843444227,0.994088669950739,2748,bert,10.0
"['Classiques', 'Topology']",0.9926289926289926,0.9882583170254403,0.9970384995064165,2748,bert,10.0
"['Spectral', 'Topology']",0.992133726647001,0.987279843444227,0.9970355731225297,2748,bert,10.0
"['Classiques', 'Spectral', 'Topology']",0.9936055090998525,0.9882583170254403,0.9990108803165183,2748,bert,10.0
