embedding_model,classifier,seed,run,precision,recall,f1,nb_0,nb_1,elapsed_train,elapsed_test
bert-base-uncased,RandomForest,2573,1,1.0,0.9750223015165032,0.987353206865402,24641,1121,20.073,0.138
bert-base-uncased,CatBoost,2573,1,0.9911190053285968,0.9955396966993756,0.9933244325767691,24641,1121,9.499,0.019
bert-base-uncased,XGBoost,2573,1,0.9955156950672646,0.9901873327386262,0.9928443649373881,24641,1121,0.574,0.009
bert-base-uncased,DecisionTree,2573,1,0.9782016348773842,0.9607493309545049,0.9693969396939695,24641,1121,2.925,0.004
bert-base-uncased,LogisticRegression,2573,1,0.07136051829268293,0.6681534344335415,0.1289489541189636,24641,1121,9.052,0.002
bert-base-uncased,KNN,2573,1,0.9823468328141225,0.8438893844781445,0.9078694817658349,24641,1121,0.013,1.519
bert-base-uncased,MLP,2573,1,0.9963800904977376,0.9821587867975022,0.9892183288409704,24641,1121,25.812,0.02
bert-base-uncased,SVM,2573,1,0.5944924406047516,0.9821587867975022,0.7406659939455096,24641,1121,1051.324,29.03
bert-base-uncased,RandomForest,3265,2,1.0,0.9702276707530648,0.9848888888888889,25038,1142,19.689,0.148
bert-base-uncased,CatBoost,3265,2,0.9955555555555555,0.9807355516637478,0.9880899867666519,25038,1142,9.262,0.018
bert-base-uncased,XGBoost,3265,2,0.9982078853046595,0.9754816112084063,0.9867139061116031,25038,1142,0.554,0.01
bert-base-uncased,DecisionTree,3265,2,0.9586994727592267,0.9553415061295972,0.9570175438596491,25038,1142,2.737,0.004
bert-base-uncased,LogisticRegression,3265,2,0.068267776096823,0.6322241681260946,0.12322922000341355,25038,1142,8.68,0.002
bert-base-uncased,KNN,3265,2,0.9750260145681582,0.8204903677758318,0.8911079410366144,25038,1142,0.014,1.363
bert-base-uncased,MLP,3265,2,0.9798775153105862,0.9807355516637478,0.9803063457330415,25038,1142,24.526,0.015
bert-base-uncased,SVM,3265,2,0.5425219941348973,0.9719789842381786,0.6963613550815558,25038,1142,1018.666,28.147
